signing_date,signer,citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,start_page,title,disposition_notes,executive_order_number
12/9/09,Obama,74 FR 66203,E9-29781,66206,https://www.federalregister.gov/documents/2009/12/14/E9-29781/creating-labor-management-forums-to-improve-delivery-of-government-services,https://www.govinfo.gov/content/pkg/FR-2009-12-14/pdf/E9-29781.pdf,Presidential Document,Executive Order,12/14/09,66201,Creating Labor-Management Forums to Improve Delivery of Government Services,"Continued by: EO 13652, September 30, 2013; EO 13708, September 30, 2015
See: EO 13591, November 23, 2011
Revoked by: EO 13812, September 29, 2017",13522
11/24/09,Obama,74 FR 62671,E9-28805,62673,https://www.federalregister.gov/documents/2009/11/30/E9-28805/establishing-the-presidential-commission-for-the-study-of-bioethical-issues,https://www.govinfo.gov/content/pkg/FR-2009-11-30/pdf/E9-28805.pdf,Presidential Document,Executive Order,11/30/09,62669,Establishing the Presidential Commission for the Study of Bioethical Issues,"Continued by: EO 13652, September 30, 2013; EO 13708, September 30, 2015
See: EO 13591, November 23, 2011
Supersedes: EO 13237, November 28, 2001",13521
11/20/09,Obama,74 FR 62201,E9-28493,62205,https://www.federalregister.gov/documents/2009/11/25/E9-28493/reducing-improper-payments,https://www.govinfo.gov/content/pkg/FR-2009-11-25/pdf/E9-28493.pdf,Presidential Document,Executive Order,11/25/09,62201,Reducing Improper Payments,,13520
11/17/09,Obama,74 FR 60123,E9-28022,60125,https://www.federalregister.gov/documents/2009/11/19/E9-28022/establishment-of-the-financial-fraud-enforcement-task-force,https://www.govinfo.gov/content/pkg/FR-2009-11-19/pdf/E9-28022.pdf,Presidential Document,Executive Order,11/19/09,60121,Establishment of the Financial Fraud Enforcement Task Force,"Terminates: EO 13271, July 9, 2002",13519
11/9/09,Obama,74 FR 58533,E9-27441,58536,https://www.federalregister.gov/documents/2009/11/13/E9-27441/employment-of-veterans-in-the-federal-government,https://www.govinfo.gov/content/pkg/FR-2009-11-13/pdf/E9-27441.pdf,Presidential Document,Executive Order,11/13/09,58533,Employment of Veterans in the Federal Government,"See: EO 13583, August 18, 2011",13518
10/30/09,Obama,74 FR 57239,E9-26834,57240,https://www.federalregister.gov/documents/2009/11/05/E9-26834/amendments-to-executive-orders-13183-and-13494,https://www.govinfo.gov/content/pkg/FR-2009-11-05/pdf/E9-26834.pdf,Presidential Document,Executive Order,11/5/09,57239,Amendments to Executive Orders 13183 and 13494,"Amends: EO 13183, December 23, 2000; EO 13494, January 30, 2009",13517
10/28/09,Obama,74 FR 56521,E9-26408,56522,https://www.federalregister.gov/documents/2009/11/02/E9-26408/amending-executive-order-13462,https://www.govinfo.gov/content/pkg/FR-2009-11-02/pdf/E9-26408.pdf,Presidential Document,Executive Order,11/2/09,56521,Amending Executive Order 13462,"Federal Register correction page and date: 74 FR 57241, November 5, 2009",13516
10/14/09,Obama,74 FR 53635,E9-25268,53638,https://www.federalregister.gov/documents/2009/10/19/E9-25268/increasing-participation-of-asian-americans-and-pacific-islanders-in-federal-programs,https://www.govinfo.gov/content/pkg/FR-2009-10-19/pdf/E9-25268.pdf,Presidential Document,Executive Order,10/19/09,53633,Increasing Participation of Asian Americans and Pacific Islanders in Federal Programs,"Supersedes: EO 13125, June 7, 1999; EO 13339, May 13, 2004;
 Amended by: EO 13585, September 30, 2011; EO 13652, September 30, 2013;
 Continued by: EO 13652, September 30, 2013;  EO 13708, September 30, 2015; EO 13811, September 29, 2017",13515
10/5/09,Obama,74 FR 52117,E9-24518,52127,https://www.federalregister.gov/documents/2009/10/08/E9-24518/federal-leadership-in-environmental-energy-and-economic-performance,https://www.govinfo.gov/content/pkg/FR-2009-10-08/pdf/E9-24518.pdf,Presidential Document,Executive Order,10/8/09,52115,"Federal Leadership in Environmental, Energy, and Economic Performance","See: EO 13423, January 24, 2007; EO 13677, September 23, 2014
Revoked by: EO 13693, March 25, 2015",13514
10/1/09,Obama,74 FR 51225,E9-24203,51227,https://www.federalregister.gov/documents/2009/10/06/E9-24203/federal-leadership-on-reducing-text-messaging-while-driving,https://www.govinfo.gov/content/pkg/FR-2009-10-06/pdf/E9-24203.pdf,Presidential Document,Executive Order,10/6/09,51225,Federal Leadership On Reducing Text Messaging While Driving,,13513
9/29/09,Obama,74 FR 50911,E9-23915,50911,https://www.federalregister.gov/documents/2009/10/02/E9-23915/amending-executive-order-13390,https://www.govinfo.gov/content/pkg/FR-2009-10-02/pdf/E9-23915.pdf,Presidential Document,Executive Order,10/2/09,50911,Amending Executive Order 13390,"Amends: EO 13390, November 1, 2005",13512
9/29/09,Obama,74 FR 50909,E9-23886,50910,https://www.federalregister.gov/documents/2009/10/01/E9-23886/continuance-of-certain-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-2009-10-01/pdf/E9-23886.pdf,Presidential Document,Executive Order,10/1/09,50907,Continuance of Certain Federal Advisory Committees,"Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12367, February 15, 1982; EO 12382, September 13, 1982; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13226, September 30, 2001; EO 13231, October 16, 2001; EO 13256, February 12, 2002; EO 13265, June 6, 2002; EO 13270, July 3, 2002; Supersedes in part: EO 13446, September 28, 2007; Superseded by: EO 13585, September 30, 2011",13511
7/1/09,Obama,74 FR 32047,E9-16034,32047,https://www.federalregister.gov/documents/2009/07/06/E9-16034/waiver-under-the-trade-act-of-1974-with-respect-to-the-republic-of-belarus,https://www.govinfo.gov/content/pkg/FR-2009-07-06/pdf/E9-16034.pdf,Presidential Document,Executive Order,7/6/09,32045,Waiver Under the Trade Act of 1974 With Respect to the Republic of Belarus,,13510
6/23/09,Obama,74 FR 30903,E9-15368,30905,https://www.federalregister.gov/documents/2009/06/26/E9-15368/establishing-a-white-house-council-on-automotive-communities-and-workers,https://www.govinfo.gov/content/pkg/FR-2009-06-26/pdf/E9-15368.pdf,Presidential Document,Executive Order,6/26/09,30901,Establishing a White House Council on Automotive Communities and Workers,"Revoked by: EO 13578, July 6, 2011",13509
5/12/09,Obama,74 FR 23099,E9-11547,23104,https://www.federalregister.gov/documents/2009/05/15/E9-11547/chesapeake-bay-protection-and-restoration,https://www.govinfo.gov/content/pkg/FR-2009-05-15/pdf/E9-11547.pdf,Presidential Document,Executive Order,5/15/09,23097,Chesapeake Bay Protection and Restoration,,13508
4/8/09,Obama,74 FR 17071,E9-8572,17073,https://www.federalregister.gov/documents/2009/04/13/E9-8572/establishment-of-the-white-house-office-of-health-reform,https://www.govinfo.gov/content/pkg/FR-2009-04-13/pdf/E9-8572.pdf,Presidential Document,Executive Order,4/13/09,17071,Establishment of the White House Office of Health Reform,"Revoked by: EO 13569, April 5, 2011",13507
3/11/09,Obama,74 FR 11271,E9-5802,11273,https://www.federalregister.gov/documents/2009/03/16/E9-5802/establishing-a-white-house-council-on-women-and-girls,https://www.govinfo.gov/content/pkg/FR-2009-03-16/pdf/E9-5802.pdf,Presidential Document,Executive Order,3/16/09,11269,Establishing a White House Council on Women And Girls,,13506
3/9/09,Obama,74 FR 10667,E9-5441,10668,https://www.federalregister.gov/documents/2009/03/11/E9-5441/removing-barriers-to-responsible-scientific-research-involving-human-stem-cells,https://www.govinfo.gov/content/pkg/FR-2009-03-11/pdf/E9-5441.pdf,Presidential Document,Executive Order,3/11/09,10665,Removing Barriers to Responsible Scientific Research Involving Human Stem Cells,"Revokes: EO 13435, June 20, 2007",13505
2/19/09,Obama,74 FR 8139,E9-4068,8140,https://www.federalregister.gov/documents/2009/02/24/E9-4068/establishment-of-the-white-house-office-of-urban-affairs,https://www.govinfo.gov/content/pkg/FR-2009-02-24/pdf/E9-4068.pdf,Presidential Document,Executive Order,2/24/09,8139,Establishment of the White House Office of Urban Affairs,,13503
2/20/09,Obama,74 FR 8431,E9-4103,8431,https://www.federalregister.gov/documents/2009/02/24/E9-4103/amending-executive-order-13390,https://www.govinfo.gov/content/pkg/FR-2009-02-24/pdf/E9-4103.pdf,Presidential Document,Executive Order,2/24/09,8429,Amending Executive Order 13390,"Amends: EO 13390, November 1, 2005",13504
2/5/09,Obama,74 FR 6979,E9-3106,6979,https://www.federalregister.gov/documents/2009/02/11/E9-3106/further-amendments-to-executive-order-12835-establishment-of-the-national-economic-council,https://www.govinfo.gov/content/pkg/FR-2009-02-11/pdf/E9-3106.pdf,Presidential Document,Executive Order,2/11/09,6977,"Further Amendments to Executive Order 12835, Establishment of the National Economic Council","Amends: EO 12835, January 25, 1993",13499
2/5/09,Obama,74 FR 6981,E9-3108,6981,https://www.federalregister.gov/documents/2009/02/11/E9-3108/further-amendments-to-executive-order-12859-establishment-of-the-domestic-policy-council,https://www.govinfo.gov/content/pkg/FR-2009-02-11/pdf/E9-3108.pdf,Presidential Document,Executive Order,2/11/09,6981,"Further Amendments to Executive Order 12859, Establishment of the Domestic Policy Council","Amends: EO 12859, August 16, 1993",13500
2/6/09,Obama,74 FR 6983,E9-3112,6984,https://www.federalregister.gov/documents/2009/02/11/E9-3112/establishment-of-the-presidents-economic-recovery-advisory-board,https://www.govinfo.gov/content/pkg/FR-2009-02-11/pdf/E9-3112.pdf,Presidential Document,Executive Order,2/11/09,6983,Establishment of the President's Economic Recovery Advisory Board,"Revoked by: EO 13564, January 31, 2011",13501
2/6/09,Obama,74 FR 6985,E9-3113,6987,https://www.federalregister.gov/documents/2009/02/11/E9-3113/use-of-project-labor-agreements-for-federal-construction-projects,https://www.govinfo.gov/content/pkg/FR-2009-02-11/pdf/E9-3113.pdf,Presidential Document,Executive Order,2/11/09,6985,Use of Project Labor Agreements for Federal Construction Projects,"Revokes: EO 13202, February 17, 2001; EO 13208, April 6, 2001",13502
2/5/09,Obama,74 FR 6533,E9-2893,6535,https://www.federalregister.gov/documents/2009/02/09/E9-2893/amendments-to-executive-order-13199-and-establishment-of-the-presidents-advisory-council-for,https://www.govinfo.gov/content/pkg/FR-2009-02-09/pdf/E9-2893.pdf,Presidential Document,Executive Order,2/9/09,6531,Amendments to Executive Order 13199 and Establishment of the President's Advisory Council for Faith-Based and Neighborhood Partnerships,"Amends: EO 13199, July 29, 2001;
 See: EO 13559, November 17, 2010; EO 13569, April 5, 2011; EO 13640, April 5, 2013; EO 13652, September 30, 2013;  EO 13708, September 30, 3015",13498
1/30/09,Obama,74 FR 6101,E9-2483,6102,https://www.federalregister.gov/documents/2009/02/04/E9-2483/economy-in-government-contracting,https://www.govinfo.gov/content/pkg/FR-2009-02-04/pdf/E9-2483.pdf,Presidential Document,Executive Order,2/4/09,6099,Economy in Government Contracting,"Amended by: EO 13517, October 30, 2009",13494
1/30/09,Obama,74 FR 6103,E9-2484,6106,https://www.federalregister.gov/documents/2009/02/04/E9-2484/nondisplacement-of-qualified-workers-under-service-contracts,https://www.govinfo.gov/content/pkg/FR-2009-02-04/pdf/E9-2484.pdf,Presidential Document,Executive Order,2/4/09,6103,Nondisplacement of Qualified Workers Under Service Contracts,"Revokes: EO 13204, February 17, 2001",13495
1/30/09,Obama,74 FR 6107,E9-2485,6111,https://www.federalregister.gov/documents/2009/02/04/E9-2485/notification-of-employee-rights-under-federal-labor-laws,https://www.govinfo.gov/content/pkg/FR-2009-02-04/pdf/E9-2485.pdf,Presidential Document,Executive Order,2/4/09,6107,Notification of Employee Rights Under Federal Labor Laws,"Revokes: EO 13201, February 17, 2001",13496
1/30/09,Obama,74 FR 6113,E9-2486,6113,https://www.federalregister.gov/documents/2009/02/04/E9-2486/revocation-of-certain-executive-orders-concerning-regulatory-planning-and-review,https://www.govinfo.gov/content/pkg/FR-2009-02-04/pdf/E9-2486.pdf,Presidential Document,Executive Order,2/4/09,6113,Revocation of Certain Executive Orders Concerning Regulatory Planning and Review,"Revokes: EO 13258, February 26, 2002; EO 13422, January 18, 2007; See: EO 12866, September 30, 1993",13497
1/22/09,Obama,74 FR 4893,E9-1885,4896,https://www.federalregister.gov/documents/2009/01/27/E9-1885/ensuring-lawful-interrogations,https://www.govinfo.gov/content/pkg/FR-2009-01-27/pdf/E9-1885.pdf,Presidential Document,Executive Order,1/27/09,4891,Ensuring Lawful Interrogations,"See: EO 13567, March 7, 2011
Revokes: EO 13440, July 20, 2007",13491
1/22/09,Obama,74 FR 4897,E9-1893,4900,https://www.federalregister.gov/documents/2009/01/27/E9-1893/review-and-disposition-of-individuals-detained-at-the-guantaacutenamo-bay-naval-base-and-closure-of,https://www.govinfo.gov/content/pkg/FR-2009-01-27/pdf/E9-1893.pdf,Presidential Document,Executive Order,1/27/09,4897,Review and Disposition of Individuals Detained At the Guant[aacute]namo Bay Naval Base and Closure of Detention Facilities,"See: EO 13567, March 7, 2011",13492
1/22/09,Obama,74 FR 4901,E9-1895,4902,https://www.federalregister.gov/documents/2009/01/27/E9-1895/review-of-detention-policy-options,https://www.govinfo.gov/content/pkg/FR-2009-01-27/pdf/E9-1895.pdf,Presidential Document,Executive Order,1/27/09,4901,Review of Detention Policy Options,,13493
1/21/09,Obama,74 FR 4669,E9-1712,4671,https://www.federalregister.gov/documents/2009/01/26/E9-1712/presidential-records,https://www.govinfo.gov/content/pkg/FR-2009-01-26/pdf/E9-1712.pdf,Presidential Document,Executive Order,1/26/09,4667,Presidential Records,"Revokes: EO 13233, November 1, 2001",13489
1/21/09,Obama,74 FR 4673,E9-1719,4678,https://www.federalregister.gov/documents/2009/01/26/E9-1719/ethics-commitments-by-executive-branch-personnel,https://www.govinfo.gov/content/pkg/FR-2009-01-26/pdf/E9-1719.pdf,Presidential Document,Executive Order,1/26/09,4673,Ethics Commitments by Executive Branch Personnel,"Superseded by: EO 13770, January 28, 2017",13490
1/19/21,Trump,86 FR 6833,2021-01712,6834,https://www.federalregister.gov/documents/2021/01/25/2021-01712/care-of-veterans-with-service-in-uzbekistan,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01712.pdf,Presidential Document,Executive Order,1/25/21,6833,Care of Veterans With Service in Uzbekistan,,13982
1/19/21,Trump,86 FR 6835,2021-01713,6835,https://www.federalregister.gov/documents/2021/01/25/2021-01713/revocation-of-executive-order-13770,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01713.pdf,Presidential Document,Executive Order,1/25/21,6835,Revocation of Executive Order 13770,,13983
1/19/21,Trump,86 FR 6837,2021-01714,6842,https://www.federalregister.gov/documents/2021/01/25/2021-01714/taking-additional-steps-to-address-the-national-emergency-with-respect-to-significant-malicious,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01714.pdf,Presidential Document,Executive Order,1/25/21,6837,Taking Additional Steps To Address the National Emergency With Respect to Significant Malicious Cyber- Enabled Activities,,13984
1/18/21,Trump,86 FR 6803,2021-01635,6806,https://www.federalregister.gov/documents/2021/01/22/2021-01635/protecting-law-enforcement-officers-judges-prosecutors-and-their-families,https://www.govinfo.gov/content/pkg/FR-2021-01-22/pdf/2021-01635.pdf,Presidential Document,Executive Order,1/22/21,6803,"Protecting Law Enforcement Officers, Judges, Prosecutors, and Their Families",,13977
1/18/21,Trump,86 FR 6809,2021-01643,6812,https://www.federalregister.gov/documents/2021/01/22/2021-01643/building-the-national-garden-of-american-heroes,https://www.govinfo.gov/content/pkg/FR-2021-01-22/pdf/2021-01643.pdf,Presidential Document,Executive Order,1/22/21,6809,Building the National Garden of American Heroes,,13978
1/18/21,Trump,86 FR 6813,2021-01644,6815,https://www.federalregister.gov/documents/2021/01/22/2021-01644/ensuring-democratic-accountability-in-agency-rulemaking,https://www.govinfo.gov/content/pkg/FR-2021-01-22/pdf/2021-01644.pdf,Presidential Document,Executive Order,1/22/21,6813,Ensuring Democratic Accountability in Agency Rulemaking,,13979
1/18/21,Trump,86 FR 6817,2021-01645,6820,https://www.federalregister.gov/documents/2021/01/22/2021-01645/protecting-americans-from-overcriminalization-through-regulatory-reform,https://www.govinfo.gov/content/pkg/FR-2021-01-22/pdf/2021-01645.pdf,Presidential Document,Executive Order,1/22/21,6817,Protecting Americans From Overcriminalization Through Regulatory Reform,,13980
1/18/21,Trump,86 FR 6821,2021-01646,6823,https://www.federalregister.gov/documents/2021/01/22/2021-01646/protecting-the-united-states-from-certain-unmanned-aircraft-systems,https://www.govinfo.gov/content/pkg/FR-2021-01-22/pdf/2021-01646.pdf,Presidential Document,Executive Order,1/22/21,6821,Protecting the United States From Certain Unmanned Aircraft Systems,,13981
1/14/21,Trump,86 FR 6547,2021-01469,6548,https://www.federalregister.gov/documents/2021/01/21/2021-01469/encouraging-buy-american-policies-for-the-united-states-postal-service,https://www.govinfo.gov/content/pkg/FR-2021-01-21/pdf/2021-01469.pdf,Presidential Document,Executive Order,1/21/21,6547,Encouraging Buy American Policies for the United States Postal Service,,13975
1/14/21,Trump,86 FR 6549,2021-01476,6552,https://www.federalregister.gov/documents/2021/01/21/2021-01476/establishing-the-wildland-fire-management-policy-committee,https://www.govinfo.gov/content/pkg/FR-2021-01-21/pdf/2021-01476.pdf,Presidential Document,Executive Order,1/21/21,6549,Establishing the Wildland Fire Management Policy Committee,,13976
1/13/21,Trump,86 FR 4875,2021-01228,4876,https://www.federalregister.gov/documents/2021/01/19/2021-01228/amending-executive-order-13959addressing-the-threat-from-securities-investments-that-finance,https://www.govinfo.gov/content/pkg/FR-2021-01-19/pdf/2021-01228.pdf,Presidential Document,Executive Order,1/19/21,4875,Amending Executive Order 13959Addressing the Threat From Securities Investments That Finance Communist Chinese Military Companies,,13974
1/8/21,Trump,86 FR 3733,2021-01094,3734,https://www.federalregister.gov/documents/2021/01/15/2021-01094/providing-an-order-of-succession-within-the-environmental-protection-agency,https://www.govinfo.gov/content/pkg/FR-2021-01-15/pdf/2021-01094.pdf,Presidential Document,Executive Order,1/15/21,3733,Providing an Order of Succession Within the Environmental Protection Agency,,13973
1/5/21,Trump,86 FR 3727,2021-01013,3731,https://www.federalregister.gov/documents/2021/01/14/2021-01013/promoting-small-modular-reactors-for-national-defense-and-space-exploration,https://www.govinfo.gov/content/pkg/FR-2021-01-14/pdf/2021-01013.pdf,Presidential Document,Executive Order,1/14/21,3727,Promoting Small Modular Reactors for National Defense and Space Exploration,,13972
1/5/21,Trump,86 FR 1249,2021-00305,1251,https://www.federalregister.gov/documents/2021/01/08/2021-00305/addressing-the-threat-posed-by-applications-and-other-software-developed-or-controlled-by-chinese,https://www.govinfo.gov/content/pkg/FR-2021-01-08/pdf/2021-00305.pdf,Presidential Document,Executive Order,1/8/21,1249,Addressing the Threat Posed by Applications and Other Software Developed or Controlled by Chinese Companies,"See: EO 13873, May 15, 2019",13971
12/31/20,Trump,86 FR 421,2021-00040,433,https://www.federalregister.gov/documents/2021/01/06/2021-00040/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2021-01-06/pdf/2021-00040.pdf,Presidential Document,Executive Order,1/6/21,421,Adjustments of Certain Rates of Pay,"Supersedes: EO 13901, December 26, 2019",13970
12/28/20,Trump,86 FR 219,2020-29235,221,https://www.federalregister.gov/documents/2021/01/04/2020-29235/expanding-educational-opportunity-through-school-choice,https://www.govinfo.gov/content/pkg/FR-2021-01-04/pdf/2020-29235.pdf,Presidential Document,Executive Order,1/4/21,219,Expanding Educational Opportunity Through School Choice,,13969
12/18/20,Trump,85 FR 83739,2020-28605,83744,https://www.federalregister.gov/documents/2020/12/23/2020-28605/promoting-beautiful-federal-civic-architecture,https://www.govinfo.gov/content/pkg/FR-2020-12-23/pdf/2020-28605.pdf,Presidential Document,Executive Order,12/23/20,83739,Promoting Beautiful Federal Civic Architecture,,13967
12/18/20,Trump,85 FR 83745,2020-28606,83746,https://www.federalregister.gov/documents/2020/12/23/2020-28606/promoting-redemption-of-savings-bonds,https://www.govinfo.gov/content/pkg/FR-2020-12-23/pdf/2020-28606.pdf,Presidential Document,Executive Order,12/23/20,83745,Promoting Redemption of Savings Bonds,,13968
12/14/20,Trump,85 FR 81777,2020-27948,81780,https://www.federalregister.gov/documents/2020/12/17/2020-27948/increasing-economic-and-geographic-mobility,https://www.govinfo.gov/content/pkg/FR-2020-12-17/pdf/2020-27948.pdf,Presidential Document,Executive Order,12/17/20,81777,Increasing Economic and Geographic Mobility,"See: EO 13777, February 24, 2017",13966
12/11/20,Trump,85 FR 81337,2020-27807,81338,https://www.federalregister.gov/documents/2020/12/16/2020-27807/providing-for-the-closing-of-executive-departments-and-agencies-of-the-federal-government-on,https://www.govinfo.gov/content/pkg/FR-2020-12-16/pdf/2020-27807.pdf,Presidential Document,Executive Order,12/16/20,81337,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2020","See: E O 11582, February 11, 1971",13965
12/10/20,Trump,85 FR 81331,2020-27739,81332,https://www.federalregister.gov/documents/2020/12/15/2020-27739/providing-an-order-of-succession-within-the-department-of-defense,https://www.govinfo.gov/content/pkg/FR-2020-12-15/pdf/2020-27739.pdf,Presidential Document,Executive Order,12/15/20,81331,Providing an Order of Succession Within the Department of Defense,"Revokes: EO 13533, March 1, 2010",13963
12/10/20,Trump,85 FR 81333,2020-27740,81335,https://www.federalregister.gov/documents/2020/12/15/2020-27740/rebranding-united-states-foreign-assistance-to-advance-american-influence,https://www.govinfo.gov/content/pkg/FR-2020-12-15/pdf/2020-27740.pdf,Presidential Document,Executive Order,12/15/20,81333,Rebranding United States Foreign Assistance To Advance American Influence,,13964
12/8/20,Trump,85 FR 79777,2020-27455,79778,https://www.federalregister.gov/documents/2020/12/11/2020-27455/ensuring-access-to-united-states-government-covid-19-vaccines,https://www.govinfo.gov/content/pkg/FR-2020-12-11/pdf/2020-27455.pdf,Presidential Document,Executive Order,12/11/20,79777,Ensuring Access to United States Government COVID-19 Vaccines,,13962
12/7/20,Trump,85 FR 79379,2020-27353,79381,https://www.federalregister.gov/documents/2020/12/10/2020-27353/governance-and-integration-of-federal-mission-resilience,https://www.govinfo.gov/content/pkg/FR-2020-12-10/pdf/2020-27353.pdf,Presidential Document,Executive Order,12/10/20,79379,Governance and Integration of Federal Mission Resilience,"Amends: EO 13618, July 6, 2012",13961
12/3/20,Trump,85 FR 78939,2020-27065,78943,https://www.federalregister.gov/documents/2020/12/08/2020-27065/promoting-the-use-of-trustworthy-artificial-intelligence-in-the-federal-government,https://www.govinfo.gov/content/pkg/FR-2020-12-08/pdf/2020-27065.pdf,Presidential Document,Executive Order,12/8/20,78939,Promoting the Use of Trustworthy Artificial Intelligence in the Federal Government,"See: EO 13859, February 11, 2019",13960
11/12/20,Trump,85 FR 73185,2020-25459,73189,https://www.federalregister.gov/documents/2020/11/17/2020-25459/addressing-the-threat-from-securities-investments-that-finance-communist-chinese-military-companies,https://www.govinfo.gov/content/pkg/FR-2020-11-17/pdf/2020-25459.pdf,Presidential Document,Executive Order,11/17/20,73185,Addressing the Threat From Securities Investments That Finance Communist Chinese Military Companies,,13959
11/2/20,Trump,85 FR 70951,2020-24793,70954,https://www.federalregister.gov/documents/2020/11/05/2020-24793/establishing-the-presidents-advisory-1776-commission,https://www.govinfo.gov/content/pkg/FR-2020-11-05/pdf/2020-24793.pdf,Presidential Document,Executive Order,11/5/20,70951,Establishing the President's Advisory 1776 Commission,,13958
10/21/20,Trump,85 FR 67631,2020-23780,67635,https://www.federalregister.gov/documents/2020/10/26/2020-23780/creating-schedule-f-in-the-excepted-service,https://www.govinfo.gov/content/pkg/FR-2020-10-26/pdf/2020-23780.pdf,Presidential Document,Executive Order,10/26/20,67631,Creating Schedule F in the Excepted Service,,13957
10/13/20,Trump,85 FR 65643,2020-23115,65645,https://www.federalregister.gov/documents/2020/10/16/2020-23115/establishing-the-one-trillion-trees-interagency-council,https://www.govinfo.gov/content/pkg/FR-2020-10-16/pdf/2020-23115.pdf,Presidential Document,Executive Order,10/16/20,65643,Establishing the One Trillion Trees Interagency Council,"See: EO 13855, December 21, 2018",13955
10/13/20,Trump,85 FR 65647,2020-23116,65650,https://www.federalregister.gov/documents/2020/10/16/2020-23116/modernizing-americas-water-resource-management-and-water-infrastructure,https://www.govinfo.gov/content/pkg/FR-2020-10-16/pdf/2020-23116.pdf,Presidential Document,Executive Order,10/16/20,65647,Modernizing America's Water Resource Management and Water Infrastructure,,13956
10/3/20,Trump,85 FR 63977,2020-22510,63979,https://www.federalregister.gov/documents/2020/10/08/2020-22510/saving-lives-through-increased-support-for-mental--and-behavioral-health-needs,https://www.govinfo.gov/content/pkg/FR-2020-10-08/pdf/2020-22510.pdf,Presidential Document,Executive Order,10/8/20,63977,Saving Lives Through Increased Support for Mental- and Behavioral-Health Needs,,13954
9/30/20,Trump,85 FR 62539,2020-22064,62544,https://www.federalregister.gov/documents/2020/10/05/2020-22064/addressing-the-threat-to-the-domestic-supply-chain-from-reliance-on-critical-minerals-from-foreign,https://www.govinfo.gov/content/pkg/FR-2020-10-05/pdf/2020-22064.pdf,Presidential Document,Executive Order,10/5/20,62539,Addressing the Threat to the Domestic Supply Chain From Reliance on Critical Minerals From Foreign Adversaries and Supporting the Domestic Mining and Processing Industries,"Amends: EO 13817, December 20, 2017; See: EO 13603, March 16, 2012",13953
9/25/20,Trump,85 FR 62187,2020-21960,62189,https://www.federalregister.gov/documents/2020/10/02/2020-21960/protecting-vulnerable-newborn-and-infant-children,https://www.govinfo.gov/content/pkg/FR-2020-10-02/pdf/2020-21960.pdf,Presidential Document,Executive Order,10/2/20,62187,Protecting Vulnerable Newborn and Infant Children,,13952
9/24/20,Trump,85 FR 62179,2020-21914,62186,https://www.federalregister.gov/documents/2020/10/01/2020-21914/an-america-first-healthcare-plan,https://www.govinfo.gov/content/pkg/FR-2020-10-01/pdf/2020-21914.pdf,Presidential Document,Executive Order,10/1/20,62179,An America-First Healthcare Plan,"See: EO 13813, October 12, 2017; EO 13861, March 5, 2019; EO 13877, June 24, 2019; EO 13879, July 10, 2019; EO 13890, October 3, 2019; EO 13887, October 19, 2019; EO 13937, July 24, 2020; EO 13938, July 24, 2020; EO 13939, July 24, 2020; EO 13941, August 3, 2020; EO 13944, August 6, 2020; EO 13948, September 3, 2020",13951
9/22/20,Trump,85 FR 60683,2020-21534,60689,https://www.federalregister.gov/documents/2020/09/28/2020-21534/combating-race-and-sex-stereotyping,https://www.govinfo.gov/content/pkg/FR-2020-09-28/pdf/2020-21534.pdf,Presidential Document,Executive Order,9/28/20,60683,Combating Race and Sex Stereotyping,"See: EO 11246, September 24, 1965",13950
9/13/20,Trump,85 FR 59649,2020-21129,59650,https://www.federalregister.gov/documents/2020/09/23/2020-21129/lowering-drug-prices-by-putting-america-first,https://www.govinfo.gov/content/pkg/FR-2020-09-23/pdf/2020-21129.pdf,Presidential Document,Executive Order,9/23/20,59649,Lowering Drug Prices by Putting America First,"Revokes: EO 13947, July 24, 2020",13948
9/21/20,Trump,85 FR 60043,2020-21160,60046,https://www.federalregister.gov/documents/2020/09/23/2020-21160/blocking-property-of-certain-persons-with-respect-to-the-conventional-arms-activities-of-iran,https://www.govinfo.gov/content/pkg/FR-2020-09-23/pdf/2020-21160.pdf,Presidential Document,Executive Order,9/23/20,60043,Blocking Property of Certain Persons With Respect to the Conventional Arms Activities of Iran,"See: EO 12170, November 14, 1979;  EO 12281, January 19, 1981; EO 12957, March 15, 1995",13949
7/24/20,Trump,85 FR 59171,2020-20887,59172,https://www.federalregister.gov/documents/2020/09/18/2020-20887/lowering-drug-prices-by-putting-america-first,https://www.govinfo.gov/content/pkg/FR-2020-09-18/pdf/2020-20887.pdf,Presidential Document,Executive Order,9/18/20,59171,Lowering Drug Prices by Putting America First,,13947
